clf,clf_C,clf_algorithm,clf_base_estimator,clf_bootstrap,clf_cache_size,clf_class_weight,clf_coef0,clf_compute_importances,clf_constant,clf_criterion,clf_degree,clf_dual,clf_fit_intercept,clf_gamma,clf_intercept_scaling,clf_kernel,clf_learning_rate,clf_max_depth,clf_max_features,clf_max_iter,clf_max_leaf_nodes,clf_min_density,clf_min_samples_leaf,clf_min_samples_split,clf_n_estimators,clf_n_jobs,clf_oob_score,clf_penalty,clf_probability,clf_random_state,clf_shrinking,clf_splitter,clf_strategy,clf_tol,clf_verbose,subset,subset_cols_to_exclude,subset_max_grades,subset_n_subsets,subset_num_rows,subset_proportions_positive,subset_subset_size,cv,cv_col_name,cv_col_name,cv_expanding_train,cv_inc_value,cv_indices,cv_n_folds,cv_random_state,cv_shuffle,cv_test_start,cv_test_window_size,cv_train_start,cv_train_window_size,subset_note_excluded_col,subset_note_max_grade,subset_note_prop_positive,subset_note_rows,subset_note_sample_num,cv_note_fold,cv_note_test_end,cv_note_test_start,cv_note_train_end,cv_note_train_start,f1_score,roc_auc,prec@1%,prec@2%,prec@5%,prec@10%,prec@20%,feature_ranked_0,feature_ranked_1,feature_ranked_2,feature_ranked_3,feature_ranked_4,feature_ranked_5,feature_ranked_6,feature_ranked_7,feature_ranked_8,feature_ranked_9,feature_score_0,feature_score_1,feature_score_2,feature_score_3,feature_score_4,feature_score_5,feature_score_6,feature_score_7,feature_score_8,feature_score_9
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,100,,0,,,,,0.62745098039215685,0.61769230769230765,0.49,0.0,0.1833333333333334,0.59,0.589090909090909,f1,f2,f11,f8,f14,f3,f10,f5,f7,f9,0.12017922806679363,0.10836030454601349,0.10349932353444116,0.089154518283902015,0.0886518961374059,0.087691742405212728,0.066855874336266496,0.061390393352196114,0.061089791095759585,0.059252924962804446
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,100,,1,,,,,0.49056603773584906,0.48999999999999999,1.0,1.0,1.0,0.8200000000000001,0.45925925925925926,f4,f2,f8,f3,f7,f1,f6,f10,f5,f14,0.15567555214552431,0.12290322300912224,0.10560458836006423,0.099935292945192919,0.093472549040000255,0.076976545275268829,0.065478824570331384,0.053862298740836714,0.046397215719417198,0.04177333751199136
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,200,,0,,,,,0.37777777777777782,0.37780448717948717,0.0,0.0,0.4,0.4,0.4,f9,f1,f3,f14,f12,f13,f10,f4,f0,f7,0.12475809519175107,0.10355069873968518,0.098855674924451423,0.084853118535814065,0.07654078275547363,0.075603087129756205,0.072619410125672593,0.070691136282170539,0.057610310985927435,0.052028143672724306
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,200,,1,,,,,0.40909090909090912,0.51903044871794868,0.0,0.0,0.2,0.4,0.4,f5,f10,f11,f0,f4,f2,f14,f1,f3,f9,0.13945166824160365,0.11062886782980356,0.08542436495429602,0.078045076622740794,0.071697467229019166,0.066961057118860731,0.064908018370530285,0.059638167644166483,0.058390217173088857,0.056750649242065465
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,300,,0,,,,,0.54421768707482998,0.54438596491228064,0.0,0.0,0.3348214285714286,0.39749999999999996,0.5630107526881719,f12,f4,f3,f7,f1,f10,f6,f8,f14,f0,0.12199383460647469,0.12016519904480849,0.11293914732883206,0.10956486043403364,0.10433356944452654,0.070264602162962431,0.058073790153713258,0.049828592036476937,0.048425519749328738,0.046585097446068945
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,2,,,,,,,,,,300,,1,,,,,0.4933333333333334,0.48234234234234241,0.755,0.6633333333333333,0.5392857142857143,0.4628571428571429,0.5034482758620689,f10,f14,f5,f9,f1,f13,f4,f12,f7,f6,0.12952321485314594,0.11745738704465658,0.094717077763146362,0.093230499342344925,0.086845538171393705,0.080758054212303768,0.077014661269849433,0.072231095908104531,0.063969746772557193,0.062522078920807536
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,100,,0,,,,,0.41176470588235292,0.35614035087719298,0.915,0.83,0.575,0.7,0.4428571428571428,f0,f4,f14,f5,f10,f1,f12,f3,f6,f2,0.19720346805623107,0.092177237921147043,0.086107076737111723,0.086071493349161046,0.084164381915565425,0.072103175502710087,0.068765805552041162,0.067338417541520493,0.065661631966019027,0.047257208607526649
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,100,,1,,,,,0.5641025641025641,0.47368421052631576,0.6599999999999999,0.31999999999999995,0.35000000000000003,0.3,0.5571428571428572,f12,f8,f4,f14,f1,f3,f11,f10,f7,f9,0.12780694073095136,0.12215319129929467,0.11986926347539903,0.072927139515316403,0.068611325050750335,0.06325931154904027,0.056250257243475731,0.055337437401450293,0.054185836639894611,0.053217201712891626
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,100,,2,,,,,0.68421052631578949,0.5992063492063493,1.0,1.0,0.7,0.6833333333333333,0.8428571428571429,f12,f11,f9,f8,f10,f14,f0,f3,f1,f7,0.15592088160569506,0.11956662600106402,0.084726434910061474,0.08218205146581814,0.081516353289211294,0.073862812517112103,0.069323687097054623,0.065578281236596356,0.060542899578442763,0.05104584887183674
<class 'sklearn.ensemble.forest.RandomForestClassifier'>,,,,,,,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,<class 'diogenes.grid_search.grid_search_helper.SubsetSweepNumRows'>,,,,"[100, 200, 300]",,,<class 'sklearn.cross_validation.StratifiedKFold'>,,,,,,3,,,,,,,,,,200,,0,,,,,0.39999999999999997,0.41840277777777779,1.0,1.0,0.9,0.4428571428571428,0.29450549450549446,f12,f6,f9,f3,f1,f10,f11,f2,f8,f13,0.09841842061360101,0.096609437975542153,0.093795114152722667,0.087970827981395633,0.081821274151976528,0.081686771221734608,0.077622984690313035,0.066989882199314191,0.065551302839203282,0.058174720621716733
