CRID,Gender,Race
1043909,F,Black
1043921,F,White/Hispanic
1043926,F,Black
1043927,F,White
1043930,F,Black
1043932,F,Black
1043933,M,White
1043935,M,Black
1043936,M,White
1043943,M,Black
1043945,F,Black
1043946,M,Black
1043947,M,White
1043949,F,Black
1043950,M,Black
1043952,F,Black
1043958,M,Black
1043959,F,Black
1043963,M,Unknown
1043964,F,Black
1043965,M,White
1043968,M,Black
1043975,M,Black
1043977,F,White/Hispanic
1043981,F,Black
1043985,M,Black
1043986,F,White
1043987,M,Black
1043988,M,White/Hispanic
1043989,F,Black
1043990,M,Black
1043994,F,White/Hispanic
1043995,F,White
1043996,M,White
1043997,F,Black
1044003,M,Black
1044004,M,White/Hispanic
1044005,F,White
1044006,M,White
1044008,M,Black
1044011,F,White/Hispanic
1044013,M,Black
1044016,F,Black
1044017,F,Black
1044018,F,Black
1044020,M,Black
1044022,F,Black
1044024,M,Black
1044026,M,Black
1044027,F,Black
1044028,F,White
1044029,M,Black
1044030,F,Black
1044030,M,Black
1044031,F,Black
1044032,F,Black
1044034,F,White
1044037,M,White
1044039,F,Black
1044040,F,Black
1044041,M,White
1044045,F,Black
1044047,M,Black
1044049,F,White/Hispanic
1044050,F,White
1044052,M,Asian
1044055,F,Black
1044060,F,Black
1044063,M,Hispanic
1044064,M,Black
1044067,M,Black
1044068,M,Black
1044071,M,Black
1044072,F,Black
1044074,M,White/Hispanic
1044077,M,White
1044078,F,White
1044079,F,White
1044080,M,Black
1044086,M,White
1044087,M,Black
1044088,M,Black
1044089,M,White
1044090,F,Black
1044092,M,Black
1044093,M,White
1044094,F,Black
1044096,F,White
1044099,F,Black
1044100,M,White/Hispanic
1044102,M,Black
1044103,F,Black
1044105,F,Unknown
1044106,M,White
1044108,M,White
1044109,F,Black
1044112,F,Black
1044119,M,Black
1044120,M,White/Hispanic
1044123,F,White
1044125,F,Black
1044126,M,Black
1044136,M,White
1044137,F,Black
1044138,F,Black
1044140,F,Black
1044141,M,White
1044142,M,White
1044143,F,Black
1044147,M,Black
1044148,M,Black
1044150,M,Hispanic
1044150,M,Black
1044155,M,Black
1044158,F,White/Hispanic
1044161,M,White
1044164,F,Black
1044165,F,Black
1044171,M,Black
1044172,M,Black
1044173,M,Black
1044175,M,Black
1044176,F,Black
1044178,M,White
1044181,F,Black
1044182,M,White
1044183,M,Black
1044192,F,Asian
1044195,F,Black
1044196,M,Black
1044198,M,Black
1044200,M,White/Hispanic
1044204,F,Black
1044205,M,Black
1044208,F,Black
1044209,M,White/Hispanic
1044211,F,Black
1044214,M,Black
1044215,F,Black
1044216,M,Black
1044217,M,Black
1044220,F,Black
1044221,F,White
1044224,F,Black
1044225,F,Black
1044227,M,Black
1044228,F,Black
1044229,F,White
1044230,M,Black
1044234,M,White
1044236,F,Black
1044241,M,Black
1044245,F,Black
1044246,M,Black
1044248,F,Black
1044249,M,White
1044250,M,Black
1044252,F,Black
1044253,M,White
1044254,F,Black
1044258,F,Black
1044260,M,White
1044261,M,Hispanic
1044263,F,White
1044264,M,Hispanic
1044265,M,Black
1044266,M,White
1044269,M,Black
1044270,M,White
1044271,F,Black
1044272,M,Black
1044273,M,Black
1044274,M,White
1044277,F,Black
1044281,M,White
1044283,M,White
1044284,F,Black
1044286,M,White
1044287,M,Black
1044288,M,White
1044290,F,Black
1044291,F,Black
1044292,M,Black
1044293,F,Black
1044295,M,Black
1044297,F,White/Hispanic
1044299,M,Black
1044300,M,White/Hispanic
1044301,M,Black
1044302,M,White
1044304,M,White
1044305,F,Black
1044307,M,White
1044308,F,Black
1044309,M,Black
